2022-05-19 23:05:414 INFO  SearchResultPage :22 - get the text of car search result car : Proxy element for: DefaultElementLocator 'By.xpath: //h1[@class="listing-search-title"]'
2022-05-19 23:05:478 INFO  ManageDriver :29 - Launching Chrome Browser
2022-05-19 23:05:333 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (eff461a04ceb3f40e30bf9307b35422e)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:591 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (eff461a04ceb3f40e30bf9307b35422e)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:993 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:297 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (78faf75e13f91b3ac09f75e87cef9554)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:513 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (78faf75e13f91b3ac09f75e87cef9554)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:600 INFO  CarSearchPage :42 - get the text of car search page text : [[ChromeDriver: chrome on WINDOWS (78faf75e13f91b3ac09f75e87cef9554)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 23:05:633 INFO  CarSearchPage :47 - select the make for car from drop down Holden
2022-05-19 23:05:824 INFO  CarSearchPage :52 - select the model for car from drop down Belmont
2022-05-19 23:05:922 INFO  CarSearchPage :57 - select the location for car from drop down NSW - Central West
2022-05-19 23:05:13 INFO  CarSearchPage :62 - select the price for car from drop down $70,000
2022-05-19 23:05:512 INFO  SearchResultPage :22 - get the text of car search result car : [[ChromeDriver: chrome on WINDOWS (78faf75e13f91b3ac09f75e87cef9554)] -> xpath: //h1[@class="listing-search-title"]]
2022-05-19 23:05:244 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:275 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:391 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:351 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:377 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:486 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (20632c740674eaf04938cb63809ec0f8)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:817 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (20632c740674eaf04938cb63809ec0f8)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:922 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:951 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:886 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:185 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (d822fae2f5657f3c52c76675354629a1)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:372 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (d822fae2f5657f3c52c76675354629a1)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:224 INFO  CarSearchPage :42 - get the text of car search page text : [[ChromeDriver: chrome on WINDOWS (d822fae2f5657f3c52c76675354629a1)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 23:05:400 INFO  CarSearchPage :47 - select the make for car from drop down Suzuki
2022-05-19 23:05:513 INFO  CarSearchPage :52 - select the model for car from drop down Jimny
2022-05-19 23:05:608 INFO  CarSearchPage :57 - select the location for car from drop down NSW - Riverina
2022-05-19 23:05:696 INFO  CarSearchPage :62 - select the price for car from drop down $30,000
2022-05-19 23:05:487 INFO  SearchResultPage :22 - get the text of car search result car : [[ChromeDriver: chrome on WINDOWS (d822fae2f5657f3c52c76675354629a1)] -> xpath: //h1[@class="listing-search-title"]]
2022-05-19 23:05:261 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:267 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-19 23:05:202 INFO  HomePage :34 - Mouse Hover on buy sell tab:[[ChromeDriver: chrome on WINDOWS (72c2801b5e70e27f00a93fed2a415f72)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-19 23:05:396 INFO  HomePage :39 - Link On search Cars link:[[ChromeDriver: chrome on WINDOWS (72c2801b5e70e27f00a93fed2a415f72)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-19 23:05:153 INFO  CarSearchPage :42 - get the text of car search page text : [[ChromeDriver: chrome on WINDOWS (72c2801b5e70e27f00a93fed2a415f72)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2022-05-19 23:05:461 INFO  CarSearchPage :47 - select the make for car from drop down Alpine
2022-05-19 23:05:389 INFO  CarSearchPage :52 - select the model for car from drop down A110
2022-05-19 23:05:805 INFO  CarSearchPage :57 - select the location for car from drop down NSW - Sydney
